Question,Answer
What kind of health services can be accessed online if you are registered with a GP surgery?,"If you are registered with a GP surgery, you can access some health services online, such as contacting your GP, nurse or other healthcare professional for advice and support, ordering repeat prescriptions, seeing parts of your health record, including information about medicines, vaccinations and test results, seeing communications between your GP surgery and other services, such as hospitals, and booking, checking or cancelling appointments with a GP, nurse or other healthcare professional."
What kind of information can you see on your health record through online health services?,"Through online health services, you can see parts of your health record, including information about medicines, vaccinations, and test results, as well as communications between your GP surgery and other services such as hospitals."
What kind of healthcare professionals can you contact for advice and support through online health services?,"You can contact your GP, nurse or other healthcare professional for advice and support through online health services."
When will patients be automatically given access to more information added to their GP record?,"Most patients will automatically be given access to more information added to their GP record from November 2022 onwards, including letters, test results and appointment notes."
How can you find out which online health service providers you can use?,"To find out which online health service providers you can use, you should check your GP surgery's website to see what services are available online and which providers you can use."
What are some of the things you can do through online health and prescription services?,"Through online health and prescription services, you can do things like order repeat prescriptions, see parts of your health record, contact healthcare professionals for advice and support, and book, check or cancel appointments."
Can you choose from more than one provider for online health services? How do you choose a provider?,"You may be able to choose from more than one provider for online health services, and you can choose a provider by visiting the websites of different providers to see what they offer. Some providers also let you register online using NHS login."
How can you register to use online health services?,"To register to use online health services, you need to prove who you are. You can do this online using NHS login or by using details from your GP surgery to fill in a short registration form."
What are the two ways to prove your identity to use online health services?,The two ways to prove your identity to use online health services are by proving who you are online using NHS login or by using details from your GP surgery to register.
Can you use your NHS login to register with more than one provider?,"Yes, you can use your NHS login to register with more than one provider for online health services."
